movie,imdb name,imdb id
Dangerous Liaisons (1988),Dangerous Liaisons (1988),0094947
Battle: Los Angeles (2011),Battle Los Angeles (2011),1217613
Dreamscape (1984),Dreamscape (1984),0087175
Volcano (1997),Volcano (1997),0120461
Jobs (2013),Jobs (2013),2357129
Observe and Report (2009),Observe and Report (2009),1197628
Yves Saint Laurent (2014),Yves Saint Laurent (2014),2707858
Coming Home (1978),Coming Home (1978),0077362
The Wanderers (1979),"Wanderers, The (1979)",0080117
Gamer (2009),Gamer (2009),1034032
Jesus Christ Superstar (1973),Jesus Christ Superstar (1973),0070239
The Great Mouse Detective (1986),"Great Mouse Detective, The (1986)",0091149
Megamind (2010),Megamind (2010),1001526
The Secret of My Succe$s (1987),"Secret of My Succe$s, The (1987)",0093936
Drop Zone (1994),Drop Zone (1994),0109676
Coco Before Chanel (2009),Coco Before Chanel (2009),1035736
Border Cop (1979),"""Border Country"" (1979)",4218264
Stealing Harvard (2002),Stealing Harvard (2002),0265808
Finding Forrester (2000),Finding Forrester (2000),0181536
John Wick (2014),John Wick (2014),2911666
Steve Jobs (2015),Steve Jobs (2015),2080374
Antz (1998),Antz (1998),0120587
White House Down (2013),White House Down (2013),2334879
Fail-Safe (1964),Fail-Safe (1964),0058083
The Landlord (1970),"Landlord, The (1970)",0065963
The Transformers: The Movie (1986),"Transformers: The Movie, The (1986)",0092106
Friends with Benefits (2011),Friends with Benefits (2011),1632708
Working Girl (1988),Working Girl (1988),0096463
The Strawberry Statement (1970),"Strawberry Statement, The (1970)",0066415
Chasing Liberty (2004),Chasing Liberty (2004),0360139
Scouts Guide to the Zombie Apocalypse (2015),Scouts Guide to the Zombie Apocalypse (2015),1727776
Captain Phillips (2013),Captain Phillips (2013),1535109
Gordy (1995),Gordy (1995),0113199
Fright Night (1985),Fright Night (1985),0089175
Hitchcock (2012),Hitchcock (2012),0975645
Terminal Velocity (1994),Terminal Velocity (1994),0111400
Armageddon (1998),Armageddon (1998),0120591
The Road to El Dorado (2000),"Road to El Dorado, The (2000)",0138749
Prefontaine (1997),Prefontaine (1997),0119937
The Other Son (2012),"Other Son, The (2012)",2073016
Pacific Rim (2013),Pacific Rim (2013),1663662
1492: Conquest of Paradise (1992),1492 - Die Eroberung des Paradieses (1992),0103594
Robin Hood (1991),Robin Hood (1991),0102797
Orange County (2002),Orange County (2002),0273923
The Grissom Gang (1971),"Grissom Gang, The (1971)",0067162
Vamp (1986),Vamp (1986),0092147
Red Planet (2000),Red Planet (2000),0199753
Dante's Peak (1997),Dante's Peak (1997),0118928
A Bug's Life (1998),"Bug's Life, A (1998)",0120623
The World's End (2013),"World's End, The (2013)",1213663
The Cave (2005),"Cave, The (2005)",0402901
First Daughter (2004),First Daughter (2004),0361620
Mission to Mars (2000),Mission to Mars (2000),0183523
Hercules (2014),Hercules (I) (2014),1267297
The Legend of Hercules (2014),"Legend of Hercules, The (2014)",1043726
"Descent, The (2005)","Descent, The (2005)",0435625
A Hijacking (2012),"Hijacking, A (2012)",2216240
Harlow (1965),Harlow (I) (1965),0059252
Mirror Mirror (2012),Mirror Mirror (I) (2012),1667353
Abe Lincoln in Illinois (1940),Abe Lincoln in Illinois (1940),0032181
Without Limits (1998),Without Limits (1998),0119934
Top Gun (1986),Top Gun (1986),0092099
Skyline (2010),Skyline (2010),1564585
Braveheart (1995),Braveheart (1995),0112573
The Prestige (2006),"Prestige, The (2006)",0482571
Gone in 60 Seconds (2000),Gone in Sixty Seconds (2000),0187078
Paul Blart: Mall Cop (2009),Paul Blart: Mall Cop (2009),1114740
The Raid (2011),"Raid: Redemption, The (2011)",1899353
Scary Movie (2000),Scary Movie (2000),0175142
Gremlins (1984),Gremlins (1984),0087363
Go Tell the Spartans (1978),Go Tell the Spartans (1978),0077617
Leviathan (1989),Leviathan (1989),0097737
The Score (2001),"Score, The (2001)",0227445
Country (1984),Country (1984),0087091
Dr. Strangelove (1964),"""This Week"" Dr. Strangelove (1964)",1740348
Jezebel (1938),Jezebel (1938),0030287
K-9 (1989),K-9 (1989),0097637
Heist (2001),Heist - Der letzte Coup (2001),0252503
Shaft (1971),Shaft (1971),0067741
Captain America: Civil War (2016),Captain America: Civil War (2016),3498820
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo Thanks for Everything, Julie Newmar (1995)",0114682
Carnosaur (1993),Carnosaur (1993),0106521
Weird Science (1985),Weird Science (1985),0090305
Seven Years in Tibet (1997),Seven Years in Tibet (1997),0120102
The Fast and the Furious (2001),"Fast and the Furious, The (2001)",0232500
The Girl (2012),"""Girls"" (2012)",1723816
Saint Laurent (2014),Saint Laurent (2014),2707848
Christine (2016),Christine (I) (2016),4666726
Day of the Dead (1985),Day of the Dead (1985),0088993
Sweet Sweetback's Baadasssss Song (1971),Sweet Sweetback's Baadasssss Song (1971),0067810
Joe Dirt (2001),Joe Dirt (2001),0245686
Phone Booth (2002),Phone Booth (2002),0183649
The Return of the Living Dead (1985),"Return of the Living Dead, The (1985)",0089907
Run Ronnie Run! (2002),Run Ronnie Run (2002),0258100
Wolfen (1981),Wolfen (1981),0083336
Snow White and the Huntsman (2012),Snow White and the Huntsman (2012),1735898
The Graduate (1967),"Graduate, The (1967)",0061722
Florence Foster Jenkins (2016),Florence Foster Jenkins (2016),4136084
Nosferatu the Vampyre (1979),Nosferatu the Vampyre (1979),0079641
Back to the Future (1985),Back to the Future (1985),0088763
The Road (2009),"Road (I), The (2009)",0898367
